,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_speed
302,Tautira,20,PF,1521700200,74,-17.73,-149.15,82.4,3.36
303,Geraldton,40,CA,1521698400,46,49.72,-86.95,6.8,2.24
304,Savalou,0,BJ,1521701839,96,7.93,1.98,73.32,5.39
305,Birin,0,SY,1521701839,39,35.01,36.67,62.16,5.06
306,Rio Gallegos,0,AR,1521698400,61,-51.62,-69.22,50.0,5.82
307,Alice Springs,40,AU,1521698400,24,-23.7,133.88,91.4,8.05
308,Calabozo,24,VE,1521701840,67,8.92,-67.43,81.87,15.01
309,Khorixas,32,NA,1521701841,92,-20.37,14.96,63.24,2.93
310,Mar del Plata,64,AR,1521701619,60,-46.43,-67.52,60.54,16.46
311,Pavino,90,RU,1521700200,79,55.02,82.61,28.4,2.24
312,Cabra,0,ES,1521700200,91,37.47,-4.43,33.8,1.12
313,Jawhar,0,IN,1521701842,32,19.91,73.23,89.07,4.72
314,Tabou,68,CI,1521701842,100,4.42,-7.36,81.06,8.41
315,Alekseyevka,75,RU,1521700200,85,53.25,50.49,24.8,8.95
316,Hofn,92,IS,1521701641,100,64.25,-15.21,39.93,8.41
317,Cognac,0,FR,1521700200,80,45.69,-0.33,30.2,2.24
318,Acapulco,5,MX,1521697680,83,16.86,-99.88,75.2,3.71
319,Berlevag,90,NO,1521699600,85,70.86,29.09,23.0,4.7
320,Pitimbu,75,BR,1521698400,78,-7.47,-34.81,78.8,1.12
321,Autazes,0,BR,1521701844,97,-3.58,-59.13,76.47,2.71
322,Am Timan,0,TD,1521701845,74,11.04,20.28,75.48,8.08
323,Provideniya,92,RU,1521701563,94,64.42,-173.23,32.46,26.64
324,Mocajuba,32,BR,1521701845,96,-2.58,-49.5,75.39,3.04
325,Kavieng,24,PG,1521701846,93,-2.57,150.8,86.64,14.67
326,Liverpool,75,GB,1521699600,87,53.41,-2.98,44.6,6.93
327,Itarema,48,BR,1521701846,93,-2.92,-39.92,75.39,4.61
328,North Bend,90,US,1521701040,100,43.41,-124.22,46.4,5.82
329,Shenjiamen,0,CN,1521701847,89,29.96,122.3,51.36,9.98
330,Saint-Pierre,75,FR,1521700200,90,48.95,4.24,32.0,8.05
331,Saint Anthony,40,US,1521698160,70,43.97,-111.68,42.8,10.29
332,Obukhiv,20,UA,1521700200,79,50.11,30.63,28.4,6.71
333,Erzin,0,TR,1521699600,82,36.95,36.2,60.8,3.36
334,Brandon,1,US,1521700500,76,43.59,-96.57,32.0,3.36
335,Luena,48,AO,1521701849,97,-11.78,19.91,64.59,2.93
336,Ostrovnoy,48,RU,1521701849,84,68.05,39.51,10.41,9.75
337,Opuwo,24,NA,1521701850,91,-18.06,13.84,60.63,2.93
338,Nordby,92,DK,1521699600,100,55.45,8.41,41.0,14.99
339,Itoman,75,JP,1521698400,51,26.12,127.67,64.4,19.46
340,Gejiu,88,CN,1521701850,82,23.36,103.16,60.99,2.71
341,Reconquista,0,AR,1521701851,83,-29.14,-59.64,59.01,10.09
342,La Baneza,0,ES,1521698400,85,42.3,-5.9,21.2,3.36
343,Marsh Harbour,0,BS,1521701540,100,26.54,-77.06,70.71,19.04
344,Suluq,80,LY,1521701610,75,31.67,20.25,59.19,5.17
345,Santa Cruz de Tenerife,75,ES,1521700200,81,28.47,-16.25,59.0,4.7
346,Kudahuvadhoo,64,MV,1521701852,100,2.67,72.89,83.76,6.62
347,Puerto Escondido,0,MX,1521701573,99,15.86,-97.07,81.69,12.21
348,Egvekinot,76,RU,1521701853,92,66.32,-179.17,29.49,8.41
349,Seara,0,BR,1521701853,86,-27.15,-52.31,55.68,4.72
350,Arman,0,RU,1521700200,39,59.7,150.17,8.6,8.95
351,Balikpapan,88,ID,1521701854,100,-1.24,116.86,80.25,4.38
352,Amapa,20,HN,1521701854,89,15.09,-87.97,65.04,1.92
353,Sinnamary,92,GF,1521701855,97,5.38,-52.96,78.9,14.67
354,Maues,32,BR,1521701855,96,-3.38,-57.72,75.21,2.15
355,Buin,0,CL,1521698400,62,-33.73,-70.74,53.6,4.7
356,Derby,75,GB,1521699600,87,52.92,-1.48,42.8,10.29
357,Road Town,40,VG,1521697980,100,18.42,-64.62,75.2,13.87
358,Dakoro,20,NE,1521701856,53,14.51,6.76,77.01,8.19
359,Zhezkazgan,75,KZ,1521698400,81,47.8,67.71,44.6,4.47
360,Caravelas,24,BR,1521701857,100,-17.73,-39.27,81.96,16.46
361,Cap-aux-Meules,56,CA,1521701857,94,47.38,-61.86,30.57,23.73
362,Klaksvik,92,FO,1521699600,100,62.23,-6.59,41.0,16.11
363,Fez,40,MA,1521700200,86,34.03,-5.02,39.2,8.05
364,Atikokan,0,CA,1521701858,71,48.76,-91.62,10.41,2.48
365,Vizinga,0,RU,1521701858,61,61.08,50.08,4.29,3.71
366,Coahuayana,12,MX,1521701859,77,18.62,-100.35,63.24,2.71
367,Rapid Valley,20,US,1521701700,85,44.06,-103.15,37.4,2.59
368,Karasjok,0,NO,1521699600,84,69.47,25.52,3.2,3.6
369,Margate,75,AU,1521698400,59,-43.03,147.26,60.8,13.87
